"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"239";0,423;2,375;2,252;0,206;7,598;12,033;0,495;47,913;0;0,328;24,335;0;2,042
"240";0,928;1,743;0,596;4,959;2,514;3,106;0,626;82,147;0;0,476;2,741;0;0,165
"241";0,166;1,552;0,452;0,095;1,453;12,481;2,146;76,725;0;0,479;3,911;0;0,54
"242";0,932;8,328;2,144;4,023;3,206;4,152;0,687;52,383;0;0,333;12,932;0;10,879
"243";1,344;4,487;1,032;0,256;1,824;4,946;1,112;66,478;0;0,622;5,827;0;12,072
"244";2,652;0,613;0,292;0,528;2,15;8,303;0,789;77,969;0;0,202;6,223;0;0,28
"245";0,243;11,895;20,358;4,847;2,823;2,324;0,344;52,718;0;0,481;3,522;0;0,446
"246";0,083;0,626;0,144;0,038;0,867;1,037;5,398;84,961;0;0,042;5,453;0;1,353
"247";0,008;0,15;0,05;0,055;0,081;1,111;0,152;98,195;0;0,016;0,171;0;0,012
"248";0,05;0,417;0,529;0,16;3,54;11,101;0,321;82,084;0;0,593;0,612;0;0,592
"249";0,171;44,969;1,316;1,797;1,111;1,349;0,526;43,348;0;0,309;3,304;0;1,799
"250";0,249;2,945;0,274;0,082;1,785;0,731;0,945;91,249;0;0,073;0,934;0;0,733
"251";0,665;2,631;0,863;0,524;4,215;32,343;1,286;51,582;0;0,468;5,423;0;0
"252";0,698;1,778;1,822;3,994;7,604;30,431;1,696;41,262;0;0,645;9,085;0;0,985
"253";0,285;6,678;1,795;0,802;8,828;3,753;4,765;65,859;0;0,335;4,839;0;2,061
"254";0,361;1,608;1,136;0,329;1,406;8,264;0,602;80,56;0;0,479;3,869;0;1,387
"255";14,746;4,098;6,213;6,835;5,568;11,497;1,45;36,273;0;1,518;6,259;0;5,543
"256";0,194;6,019;2,298;0,358;2,425;2,583;0,714;81,214;0;0,252;3,739;0;0,205
"257";0,187;10,373;1,441;0,15;1,149;5,003;0,685;74,877;0;0,497;2,698;0;2,942
"258";0,125;2,425;7,577;0,18;3,576;5,224;0,634;76,253;0;0,76;3,246;0;0
